"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C15,C22,C21,C25,C20,C13,C17,C19,C14,C4,C11,C16,C12,C23,C9,C18";"C_0402_1005Metric";17;"100n";;;
2;"C3,C1,C2";"C_0402_1005Metric";3;"4.7u";;;
3;"R15,R12,R19,R13,R18,R16,R17,R14";"R_0402_1005Metric";8;"270R";;;
4;"U1";"QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350B-QFN80";;;
5;"R1,R7,R6";"R_0402_1005Metric";3;"27R";;;
6;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
7;"C10,C8";"C_0402_1005Metric";2;"4.7uF";;;
8;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q32JVSS";;;
9;"R9,R20,R23,R22,R8,R21";"R_0402_1005Metric";6;"5.1k";;;
10;"J4";"PinSocket_2x09_P2.54mm_Horizontal";1;"Conn_02x09_Odd_Even";;;
11;"C5,C6";"C_0402_1005Metric";2;"15p";;;
12;"J3";"HDMI_A_Amphenol_10029449-x01xLF_Horizontal";1;"HDMI_A";;;
13;"R4,R5,R11,R3";"R_0402_1005Metric";4;"1k";;;
14;"SW2,SW1";"Panasonic_EVQPUJ_EVQPUA";2;"SMD_Pushbutton";;;
15;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
16;"D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B-2020";;;
17;"L1";"RP235x_Inductor";1;"3.3uH";;;
18;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
19;"D1";"LED_0603_1608Metric";1;"LED";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
21;"TP8,TP2,TP3,TP4,TP6,TP7,TP10,TP1,TP9,TP5";"TestPoint_Pad_D1.0mm";10;"TestPoint";;;
